"問題番号","問題文","コアラ"
1,学名を「ファスコラルクトス・シネレウス」という、ユーカリの葉を主食とするオーストラリア固有の動物は何でしょう？,コアラ
2,野球において、満塁ホームランを打った時に入る得点は何点でしょう？,4点
3,マダラ、ヤマト、チャバネなどの種類がいる、害虫の一種は何でしょう,ゴキブリ
4,自然数のうち、素数でも合成数でもない唯一の数はなんでしょう？,1
5,次女に同じく小説家の文(あや)を持つ、代表作に『五重塔』などがあり、第 1 回文化勲章も受賞している日本の作家は誰でしょう？,幸田露伴(こうだ・ろはん)
6,楽譜における演奏記号で、「D.C.」は「ダ・カーポ」の略ですが、「D.S.」は何という言葉の略でしょう？,ダル・セーニョ
7, 桜田門外の変で暗殺されたのは井伊直弼ですが、坂下門外の変で襲撃されたのは誰でしょう？,安藤信正
8,日本の都道府県名で、名前に「さんずい」がつくのは新潟県、滋賀県、沖縄県とどこでしょう？,北海道
9,東京大学の医学部と法学部の同窓会からその名がついた、英単語帳の『鉄壁』を出版していることでも有名な予備校はどこでしょう？,鉄緑会
10,別名をモチグサといい、花粉症の原因にもなるキク科の多年草で、草餅の材料となることで知られているのは何でしょう？,ヨモギ
11,一休禅師はこれを「冥土の旅の一里塚」と詠んだ、新年を祝って正月に家の前に立てる松飾りを何というでしょう？,門松
12,自身の作品中に登場するときは度々ゴリラの姿で描かれる、代表作に『銀魂』などがある漫画家は誰でしょう？,空知英秋(そらち・ひであき)
13,以前は「海砂利水魚」というコンビ名だった、上田晋也と有田哲平からなるナチュラルエイト所属のお笑いコンビはなんでしょう？,くりぃむしちゅー
14,英語で、「ワイン醸造所」をワイナリーといいますが、「ビール醸造所」を何というでしょう？,ブルワリー



